ward_code,ward_name,pt_accessibility_2013,Homes _os_access_2013
E05000364,Syon,-0.967145157,9.684308031
E05000365,Turnham Green,4.474559813,-2.313808834
E05000366,Barnsbury,13.64365555,-11.26782558
E05000367,Bunhill,23.67552331,-18.77736066
E05000368,Caledonian,10.78259451,-14.27177797
E05000369,Canonbury,19.31459234,2.455715318
E05000370,Clerkenwell,22.32169294,-20.13516759
E05000371,Finsbury Park,20.01295627,-2.107806366
E05000372,Highbury East,6.33242678,2.638037476
E05000373,Highbury West,13.6365182,0.973369315
E05000374,Hillrise,3.091946523,4.99732028
E05000375,Holloway,15.46656805,1.449153171
E05000376,Junction,15.69362423,5.257128109
E05000377,Mildmay,16.41771028,-9.847989395
E05000378,St George's,5.503245309,0.42127321
E05000379,St Mary's,21.23766069,4.458024525
E05000380,St Peter's,11.08485616,-5.107576102
E05000381,Tollington,5.344489954,5.998822263
E05000382,Abingdon,19.49008535,4.125146945
E05000383,Brompton,21.58074005,5.589047261
E05000384,Campden,21.80565078,11.69314397
E05000385,Colville,11.44012934,8.979016838
E05000386,Courtfield,22.16011972,7.257608632
E05000387,Cremorne,6.929151475,12.23546061
E05000388,Earl's Court,23.04025035,-2.266969283
E05000389,Golborne,4.954515363,18.48632129
E05000390,Hans Town,19.97764136,6.637112401
E05000391,Holland,15.65686433,13.25451256
E05000392,Norland,11.67026813,10.73034521
E05000393,Notting Barns,2.771046156,8.37389177
E05000394,Pembridge,22.84811468,-0.067227035
E05000395,Queen's Gate,16.18897944,6.369773387
E05000396,Redcliffe,17.10658663,13.04903823
E05000397,Royal Hospital,8.872110271,21.93818822
E05000398,St Charles,-0.016440636,13.56864315
E05000399,Stanley,13.16404393,2.211652721
E05000400,Alexandra,-10.93715025,-8.507669817
E05000401,Berrylands,-7.151137062,-4.38663401
E05000402,Beverley,-6.704915981,2.703003359
E05000403,Canbury,2.002071761,-7.301213536
E05000404,Chessington North and Hook,-9.845832381,-2.746156888
E05000405,Chessington South,-10.12575413,23.09641705
E05000406,Coombe Hill,-9.174002727,5.687080381
E05000407,Coombe Vale,-10.32315154,-7.486016589
E05000408,Grove,3.116430457,0.210595412
E05000409,Norbiton,-1.213211406,5.086416635
E05000410,Old Malden,-7.467227519,-0.75958137
E05000411,St James,-8.078426434,-2.559946901
E05000412,St Mark's,-0.559650991,-1.133943462
E05000413,Surbiton Hill,-3.543660093,-15.26342548
E05000414,Tolworth and Hook Rise,-10.85148629,-15.67697385
E05000415,Tudor,-10.6445875,3.056928354
E05000416,Bishop's,27.21621447,-4.152473104
E05000417,Brixton Hill,7.95524176,2.451848495
E05000418,Clapham Common,2.30384927,-3.47003552
E05000419,Clapham Town,9.212518845,-3.082724029
E05000420,Coldharbour,11.90700764,-9.538931274
E05000421,Ferndale,17.85693586,-4.008468813
E05000422,Gipsy Hill,-0.515640687,6.634975728
E05000423,Herne Hill,5.374091541,-3.952037101
E05000424,Knight's Hill,2.089973481,-5.218674771
E05000425,Larkhall,10.09968208,3.489742079
E05000426,Oval,22.11103853,-1.370042253
E05000427,Prince's,18.05934659,-13.62102437
